+-----------------------+-----------+------------------+-----------+------------+
| staff_name            | staff_age | staff_experience | role      | day        |
| Cole Wright           |        37 |                5 | helper    | 2028-02-09 |
| Eli Ray               |        45 |                5 | helper    | 2028-02-09 |
| Mia Lee               |        38 |                4 | security  | 2028-02-09 |
| Nathan Lawson         |        39 |                4 | helper    | 2028-02-09 |
| Preston Douglas       |        36 |                5 | security  | 2028-02-09 |
| Mackenzie Myers       |        48 |                1 | helper    | 2028-02-09 |
| Emma Thompson         |        47 |                4 | security  | 2028-02-09 |
| Brittany Bennett      |        31 |                3 | security  | 2028-02-09 |
| Max Thompson          |        49 |                5 | helper    | 2028-02-09 |
| Anthony Martinez      |        42 |                5 | security  | 2026-09-12 |
| Robert Lawson         |        40 |                5 | security  | 2026-09-12 |
| Emily Spencer         |        48 |                3 | security  | 2026-09-12 |
| Ariana Thompson       |        49 |                3 | technical | 2026-09-12 |
| Olivia Crawford       |        43 |                5 | helper    | 2026-09-12 |
| Christopher Ellis     |        45 |                2 | helper    | 2026-09-12 |
| Benjamin Ray          |        38 |                3 | security  | 2026-09-12 |
| Isabel Green          |        30 |                3 | security  | 2026-09-12 |
| Ashley Richards       |        25 |                1 | security  | 2026-09-12 |
| Miles Hanson          |        44 |                4 | security  | 2026-09-12 |
| Emma Davis            |        43 |                4 | security  | 2026-09-12 |
| Naomi Thompson        |        40 |                4 | security  | 2026-09-12 |
| Preston West          |        36 |                5 | technical | 2026-09-12 |
| Camila Bennett        |        26 |                2 | technical | 2026-09-12 |
| Kevin Diaz            |        48 |                4 | helper    | 2026-09-12 |
| Brittany Baker        |        46 |                4 | technical | 2026-09-12 |
| Michael Adams         |        34 |                3 | helper    | 2026-09-12 |
| Rachel Stevens        |        42 |                4 | helper    | 2026-09-12 |
| Michael Cole          |        27 |                3 | security  | 2026-09-12 |
| Rachel Perez          |        38 |                5 | security  | 2026-09-12 |
| Kevin Brewer          |        43 |                4 | security  | 2026-09-12 |
| Jessica Harris        |        39 |                2 | security  | 2026-09-12 |
| Valeria Brewer        |        36 |                1 | helper    | 2026-09-12 |
| Miles Perkins         |        39 |                3 | helper    | 2026-09-12 |
| Mia Hunt              |        29 |                4 | technical | 2026-09-12 |
| Brittany Ellis        |        40 |                4 | security  | 2027-05-05 |
| Miles Torres          |        29 |                4 | security  | 2027-05-05 |
| Stephanie Russell     |        30 |                4 | helper    | 2027-05-05 |
| Daniel Allen          |        35 |                5 | technical | 2027-05-05 |
| Faith Richards        |        41 |                5 | security  | 2027-05-05 |
| Noah Young            |        30 |                4 | security  | 2027-05-05 |
| Mia King              |        30 |                3 | helper    | 2027-05-05 |
| Emily Ray             |        41 |                5 | security  | 2027-05-05 |
| Christopher Richards  |        46 |                4 | helper    | 2027-05-05 |
| Faith Ray             |        31 |                2 | security  | 2027-05-05 |
| Christopher Nelson    |        49 |                1 | security  | 2027-05-05 |
| Bryce Olson           |        42 |                4 | security  | 2027-05-05 |
| Liam Young            |        49 |                2 | technical | 2027-05-05 |
| Jocelyn Myers         |        47 |                1 | helper    | 2027-05-05 |
| Vivian Smith          |        25 |                1 | helper    | 2027-05-05 |
| Bryce Warren          |        43 |                2 | technical | 2027-05-05 |
| Amanda West           |        45 |                1 | security  | 2027-05-05 |
| Eli Spencer           |        38 |                3 | security  | 2027-05-05 |
| Anthony Powell        |        31 |                5 | technical | 2027-05-05 |
| Christopher Perkins   |        45 |                3 | helper    | 2027-05-05 |
| Emma Perez            |        37 |                2 | security  | 2027-05-05 |
| Brandon Johnson       |        33 |                5 | helper    | 2027-05-05 |
| Lucas Brewer          |        46 |                5 | security  | 2027-05-05 |
| Nicole Martinez       |        36 |                4 | security  | 2027-05-05 |
| Kylie Scott           |        25 |                1 | technical | 2027-05-05 |
| Noah Spencer          |        26 |                2 | technical | 2025-04-14 |
| Nicole Armstrong      |        29 |                3 | security  | 2025-04-14 |
| Rachel Hall           |        29 |                3 | security  | 2025-04-14 |
| Cole Olson            |        32 |                3 | security  | 2025-04-14 |
| Camila Hayes          |        33 |                3 | helper    | 2025-04-14 |
| Preston Torres        |        50 |                3 | security  | 2025-04-14 |
| Delaney Cole          |        50 |                2 | security  | 2025-04-14 |
| Bryce Lee             |        49 |                3 | technical | 2025-04-14 |
| Lucas Scott           |        28 |                4 | helper    | 2025-04-14 |
| Kylie Ford            |        35 |                3 | security  | 2025-04-14 |
| Daniel Lee            |        50 |                1 | security  | 2025-04-14 |
| Miles Smith           |        50 |                2 | technical | 2025-04-14 |
| Andrew Roberts        |        30 |                5 | helper    | 2025-04-14 |
| Luna Hale             |        38 |                1 | technical | 2025-04-14 |
| Brooklyn Turner       |        43 |                2 | helper    | 2025-04-14 |
| Isabella Armstrong    |        36 |                1 | security  | 2025-04-14 |
| Valeria Warren        |        32 |                2 | helper    | 2025-04-14 |
| Faith Crawford        |        26 |                4 | security  | 2025-04-14 |
| Sarah Hanson          |        29 |                2 | security  | 2025-04-14 |
| Caleb Green           |        39 |                3 | security  | 2025-04-14 |
| James Hayes           |        41 |                3 | technical | 2025-04-14 |
| Cole Hunt             |        50 |                4 | security  | 2025-04-14 |
| Michael Hanson        |        44 |                4 | helper    | 2025-04-14 |
| Emily Olson           |        50 |                1 | security  | 2025-04-14 |
| Lauren Adams          |        41 |                2 | helper    | 2025-04-14 |
| Isabella Johnson      |        30 |                3 | technical | 2026-11-03 |
| Benjamin Crawford     |        40 |                4 | security  | 2026-11-03 |
| Ava Andrews           |        45 |                1 | technical | 2026-11-03 |
| Noah Harris           |        30 |                3 | security  | 2026-11-03 |
| Lauren Wright         |        44 |                4 | helper    | 2026-11-03 |
| John Andrews          |        37 |                2 | technical | 2026-11-03 |
| Valeria Smith         |        47 |                4 | security  | 2026-11-03 |
| Olivia Martinez       |        36 |                2 | security  | 2026-11-03 |
| Emily Russell         |        39 |                1 | security  | 2026-11-03 |
| Ashley Thompson       |        48 |                1 | helper    | 2026-11-03 |
| Leo Green             |        28 |                1 | security  | 2026-11-03 |
| Stephanie Baker       |        29 |                4 | security  | 2026-11-03 |
| Faith Sullivan        |        44 |                1 | helper    | 2026-11-03 |
| Sarah Smith           |        28 |                4 | security  | 2026-11-03 |
| Jessica West          |        47 |                5 | helper    | 2026-11-03 |
| Ashley Cole           |        37 |                4 | security  | 2026-11-03 |
| Brandon Wright        |        31 |                1 | security  | 2026-11-03 |
| Max Wilson            |        30 |                2 | helper    | 2026-11-03 |
| Nathan Hall           |        44 |                1 | security  | 2026-11-03 |
| Preston Sullivan      |        32 |                4 | technical | 2026-11-03 |
| Brandon Hayes         |        37 |                3 | helper    | 2026-11-03 |
| Liam Andrews          |        39 |                4 | helper    | 2026-11-03 |
| Emily Nelson          |        43 |                5 | technical | 2026-11-03 |
| Michael Green         |        26 |                2 | security  | 2026-11-03 |
| Michael Clark         |        31 |                4 | security  | 2026-11-03 |
| Anthony Young         |        41 |                5 | helper    | 2028-07-20 |
| Nicole Torres         |        39 |                5 | technical | 2028-07-20 |
| Lauren Richards       |        33 |                2 | helper    | 2028-07-20 |
| Amanda Allen          |        31 |                4 | helper    | 2028-07-20 |
| Olivia Scott          |        35 |                4 | helper    | 2028-07-20 |
| Vivian Russell        |        36 |                4 | security  | 2028-07-20 |
| Brittany Hale         |        32 |                2 | helper    | 2028-07-20 |
| Isabel Stevens        |        25 |                4 | technical | 2028-07-20 |
| Preston Young         |        34 |                4 | security  | 2028-07-20 |
| Robert Richards       |        28 |                4 | security  | 2028-07-20 |
| Mackenzie Spencer     |        40 |                4 | security  | 2028-07-20 |
| Justin Richards       |        31 |                3 | security  | 2028-07-20 |
| Christopher Davis     |        39 |                4 | technical | 2028-07-20 |
| Sophia Turner         |        41 |                2 | helper    | 2028-07-20 |
| Lucas Johnson         |        50 |                1 | technical | 2028-07-20 |
| Kylie Bennett         |        47 |                1 | security  | 2028-07-20 |
| Mackenzie Richards    |        36 |                3 | security  | 2028-07-20 |
| Cole Mitchell         |        34 |                1 | security  | 2028-07-20 |
| Liam King             |        43 |                1 | security  | 2028-07-20 |
| Joshua Thompson       |        35 |                3 | security  | 2028-07-20 |
| Anthony Warren        |        44 |                2 | security  | 2028-07-20 |
| Luna Torres           |        25 |                1 | helper    | 2028-07-20 |
| Matthew Roberts       |        43 |                3 | security  | 2028-07-20 |
| James Baker           |        42 |                5 | technical | 2028-07-20 |
| Jude Thompson         |        46 |                4 | security  | 2028-07-20 |
| Camila Perez          |        28 |                3 | security  | 2025-01-27 |
| Anthony Reed          |        41 |                4 | security  | 2025-01-27 |
| Jude Richards         |        25 |                3 | helper    | 2025-01-27 |
| Nicole Hanson         |        38 |                2 | security  | 2025-01-27 |
| Mia Turner            |        36 |                3 | technical | 2025-01-27 |
| Caleb Torres          |        45 |                2 | security  | 2025-01-27 |
| Emily Lawson          |        28 |                5 | helper    | 2025-01-27 |
| Camila Johnson        |        41 |                3 | helper    | 2025-01-27 |
| Cole Hale             |        40 |                4 | security  | 2025-01-27 |
| Delaney Lewis         |        27 |                3 | helper    | 2025-01-27 |
| Olivia Hanson         |        39 |                2 | security  | 2025-01-27 |
| Andrew Russell        |        46 |                4 | helper    | 2025-01-27 |
| Luna Wright           |        44 |                1 | security  | 2025-01-27 |
| Isabel Ray            |        42 |                3 | security  | 2025-01-27 |
| Camila Hunt           |        31 |                1 | security  | 2025-01-27 |
| Robert Stevens        |        34 |                1 | security  | 2025-01-27 |
| James Young           |        42 |                2 | helper    | 2025-01-27 |
| Mia Armstrong         |        33 |                5 | security  | 2025-01-27 |
| Nathan Thompson       |        36 |                1 | technical | 2025-01-27 |
| Noah Perez            |        30 |                2 | technical | 2025-01-27 |
| Matthew Ellis         |        48 |                5 | technical | 2025-01-27 |
| Matthew Ford          |        25 |                1 | helper    | 2025-01-27 |
| Delaney Adams         |        25 |                4 | security  | 2025-01-27 |
| Megan Hall            |        33 |                2 | security  | 2025-01-27 |
| Jocelyn Hall          |        44 |                2 | technical | 2025-01-27 |
| Brandon Adams         |        48 |                1 | security  | 2025-03-09 |
| Olivia Hamilton       |        41 |                2 | helper    | 2025-03-09 |
| Rachel Russell        |        42 |                1 | technical | 2025-03-09 |
| Matthew King          |        26 |                3 | security  | 2025-03-09 |
| Anthony Myers         |        33 |                2 | technical | 2025-03-09 |
| Max Moreno            |        27 |                4 | helper    | 2025-03-09 |
| Christopher Powell    |        29 |                3 | technical | 2025-03-09 |
| Jessica Ellis         |        29 |                3 | helper    | 2025-03-09 |
| Nicole Russell        |        49 |                2 | security  | 2025-03-09 |
| Simon Nelson          |        44 |                2 | security  | 2025-03-09 |
| Justin Scott          |        50 |                4 | technical | 2025-03-09 |
| Brooklyn Moreno       |        36 |                1 | security  | 2025-03-09 |
| Stephanie Mitchell    |        29 |                3 | helper    | 2025-03-09 |
| Valeria Russell       |        34 |                3 | security  | 2025-03-09 |
| Megan Young           |        36 |                5 | security  | 2025-03-09 |
| Daniel Hanson         |        37 |                5 | security  | 2025-03-09 |
| Max Richards          |        36 |                1 | security  | 2025-03-09 |
| Nathan Perkins        |        40 |                5 | security  | 2025-03-09 |
| Michael Wright        |        49 |                2 | helper    | 2025-03-09 |
| Max Hamilton          |        27 |                3 | security  | 2025-03-09 |
| Noah Turner           |        29 |                3 | security  | 2025-03-09 |
| Liam Bennett          |        42 |                2 | technical | 2025-03-09 |
| Bryce Barrett         |        28 |                1 | helper    | 2025-03-09 |
| Vivian Barrett        |        43 |                3 | security  | 2025-03-09 |
| Lucas Hayes           |        47 |                4 | helper    | 2025-03-09 |
| James Moreno          |        31 |                1 | technical | 2026-10-22 |
| Eli Sullivan          |        27 |                3 | helper    | 2026-10-22 |
| Michael Moreno        |        48 |                3 | helper    | 2026-10-22 |
| Ashley Green          |        26 |                1 | security  | 2026-10-22 |
| Emma Warren           |        32 |                1 | technical | 2026-10-22 |
| Rachel Wilson         |        29 |                3 | security  | 2026-10-22 |
| James Bennett         |        36 |                2 | helper    | 2026-10-22 |
| Daniel Turner         |        47 |                4 | technical | 2026-10-22 |
| Lucas Baker           |        31 |                3 | security  | 2026-10-22 |
| Michael Armstrong     |        39 |                5 | helper    | 2026-10-22 |
| Charlotte West        |        40 |                4 | security  | 2026-10-22 |
| Andrew West           |        47 |                4 | security  | 2026-10-22 |
| Lucas Hale            |        36 |                3 | technical | 2026-10-22 |
| Robert Davis          |        36 |                4 | security  | 2026-10-22 |
| Matthew Bennett       |        49 |                5 | security  | 2026-10-22 |
| Brittany Davis        |        31 |                1 | helper    | 2026-10-22 |
| Ashley Scott          |        41 |                1 | technical | 2026-10-22 |
| Kylie Torres          |        47 |                1 | security  | 2026-10-22 |
| Robert Thompson       |        46 |                3 | security  | 2026-10-22 |
| James West            |        47 |                4 | helper    | 2026-10-22 |
| Mackenzie Smith       |        33 |                1 | security  | 2026-10-22 |
| John Cole             |        38 |                3 | helper    | 2026-10-22 |
| Megan Hamilton        |        41 |                5 | security  | 2026-10-22 |
| Benjamin Douglas      |        33 |                4 | security  | 2026-10-22 |
| Joshua Hayes          |        38 |                3 | security  | 2026-10-22 |
| Matthew Green         |        40 |                2 | security  | 2027-06-16 |
| Stephanie Jenkins     |        38 |                4 | helper    | 2027-06-16 |
| Leo Crawford          |        27 |                1 | security  | 2027-06-16 |
| Jocelyn Reed          |        44 |                1 | security  | 2027-06-16 |
| Amanda Wilson         |        31 |                5 | helper    | 2027-06-16 |
| Jessica Ray           |        49 |                2 | technical | 2027-06-16 |
| Bryce Baker           |        47 |                1 | security  | 2027-06-16 |
| Emily Diaz            |        32 |                1 | technical | 2027-06-16 |
| Jessica Turner        |        30 |                4 | security  | 2027-06-16 |
| Michael Perez         |        40 |                5 | security  | 2027-06-16 |
| Michael Lawson        |        48 |                4 | security  | 2027-06-16 |
| Kevin Hanson          |        41 |                1 | technical | 2027-06-16 |
| Kevin Clark           |        46 |                5 | security  | 2027-06-16 |
| Nathan Ellis          |        36 |                4 | technical | 2027-06-16 |
| Noah Mitchell         |        43 |                3 | helper    | 2027-06-16 |
| Isabel Hall           |        28 |                5 | security  | 2027-06-16 |
| John Reed             |        43 |                5 | helper    | 2027-06-16 |
| Brittany Stevens      |        42 |                2 | helper    | 2027-06-16 |
| Ariana Barrett        |        32 |                3 | security  | 2027-06-16 |
| Daniel Ellis          |        26 |                2 | helper    | 2027-06-16 |
| Michael Nelson        |        28 |                3 | security  | 2027-06-16 |
| Naomi Sullivan        |        47 |                3 | security  | 2027-06-16 |
| Max Douglas           |        36 |                3 | technical | 2027-06-16 |
| Nathan Ford           |        45 |                4 | security  | 2027-06-16 |
| Ashley Martinez       |        44 |                3 | helper    | 2027-06-16 |
| Ashley Hayes          |        44 |                1 | security  | 2026-12-06 |
| Emma Ray              |        39 |                4 | security  | 2026-12-06 |
| Brittany West         |        26 |                2 | helper    | 2026-12-06 |
| Emma Allen            |        25 |                3 | technical | 2026-12-06 |
| Naomi Roberts         |        39 |                1 | technical | 2026-12-06 |
| Andrew Andrews        |        39 |                1 | security  | 2026-12-06 |
| Jude Perez            |        27 |                3 | security  | 2026-12-06 |
| Christopher Hamilton  |        35 |                5 | security  | 2026-12-06 |
| Charlotte Hunt        |        35 |                3 | helper    | 2026-12-06 |
| Vivian Clark          |        36 |                2 | security  | 2026-12-06 |
| Valeria Sullivan      |        28 |                4 | helper    | 2026-12-06 |
| Nathan Clark          |        36 |                4 | security  | 2026-12-06 |
| Nicole Perkins        |        43 |                3 | helper    | 2026-12-06 |
| Miles Griffin         |        28 |                2 | security  | 2026-12-06 |
| Megan Wilson          |        33 |                2 | technical | 2026-12-06 |
| Ava Sullivan          |        30 |                2 | security  | 2026-12-06 |
| Brooklyn Crawford     |        35 |                4 | technical | 2026-12-06 |
| Ava Hall              |        36 |                2 | helper    | 2026-12-06 |
| Camila Brewer         |        35 |                2 | security  | 2026-12-06 |
| John Powell           |        26 |                2 | security  | 2026-12-06 |
| Cole Barrett          |        31 |                5 | security  | 2026-12-06 |
| Luna Ray              |        36 |                4 | security  | 2026-12-06 |
| John Perkins          |        41 |                2 | helper    | 2026-12-06 |
| Mia Green             |        44 |                2 | helper    | 2026-12-06 |
| Bryce Moreno          |        50 |                1 | technical | 2026-12-06 |
| Mia Brewer            |        49 |                2 | security  | 2025-09-04 |
| Ashley Stevens        |        50 |                1 | helper    | 2025-09-04 |
| Michael Turner        |        31 |                1 | security  | 2025-09-04 |
| William Scott         |        25 |                4 | security  | 2025-09-04 |
| Eli Warren            |        36 |                5 | security  | 2025-09-04 |
| Simon Barrett         |        28 |                4 | helper    | 2025-09-04 |
| Andrew Hayes          |        41 |                1 | security  | 2025-09-04 |
| Olivia Nelson         |        26 |                4 | technical | 2025-09-04 |
| Jude Hale             |        34 |                5 | security  | 2025-09-04 |
| Kevin Armstrong       |        44 |                2 | technical | 2025-09-04 |
| Ava Warren            |        45 |                4 | security  | 2025-09-04 |
| Bryce Diaz            |        25 |                5 | helper    | 2025-09-04 |
| Valeria Torres        |        26 |                3 | security  | 2025-09-04 |
| Leo Spencer           |        49 |                3 | technical | 2025-09-04 |
| Kylie Richards        |        50 |                2 | helper    | 2025-09-04 |
| Max Clark             |        38 |                5 | security  | 2025-09-04 |
| Ava Barrett           |        49 |                5 | helper    | 2025-09-04 |
| Lucas Russell         |        30 |                3 | helper    | 2025-09-04 |
| James Turner          |        31 |                1 | technical | 2025-09-04 |
| Lauren Powell         |        27 |                2 | security  | 2025-09-04 |
| Leo Davis             |        26 |                4 | security  | 2025-09-04 |
| Rachel Hunt           |        50 |                4 | technical | 2025-09-04 |
| Sarah Sullivan        |        35 |                3 | helper    | 2025-09-04 |
| Simon Reed            |        48 |                5 | security  | 2025-09-04 |
| Isabel Crawford       |        49 |                3 | security  | 2025-09-04 |
| Simon Hunt            |        47 |                3 | security  | 2028-06-23 |
| Stephanie Hall        |        48 |                1 | security  | 2028-06-23 |
| Leo Andrews           |        45 |                3 | helper    | 2028-06-23 |
| Isabella Ray          |        30 |                4 | security  | 2028-06-23 |
| Emma Mitchell         |        48 |                1 | helper    | 2028-06-23 |
| Nathan Jenkins        |        25 |                3 | security  | 2028-06-23 |
| Preston Clark         |        46 |                1 | security  | 2028-06-23 |
| Brittany Scott        |        25 |                2 | security  | 2028-06-23 |
| Charlotte Campbell    |        41 |                3 | helper    | 2028-06-23 |
| Miles Reed            |        41 |                3 | technical | 2028-06-23 |
| William Stevens       |        35 |                1 | security  | 2028-06-23 |
| Liam Johnson          |        26 |                3 | helper    | 2028-06-23 |
| Ashley Adams          |        43 |                1 | technical | 2028-06-23 |
| Andrew Hanson         |        39 |                1 | security  | 2028-06-23 |
| Benjamin Hayes        |        40 |                4 | helper    | 2028-06-23 |
| Matthew Brewer        |        29 |                3 | helper    | 2028-06-23 |
| Ava Armstrong         |        50 |                3 | security  | 2028-06-23 |
| Mackenzie Diaz        |        30 |                1 | security  | 2028-06-23 |
| Miles Hall            |        38 |                5 | technical | 2028-06-23 |
| Christopher Hall      |        45 |                3 | security  | 2028-06-23 |
| Nathan Allen          |        33 |                5 | technical | 2028-06-23 |
| Isabel Baker          |        28 |                1 | security  | 2028-06-23 |
| Miles Wright          |        48 |                4 | helper    | 2028-06-23 |
| Stephanie Crawford    |        33 |                2 | security  | 2028-06-23 |
| Ava Davis             |        32 |                5 | technical | 2028-06-23 |
| Christopher Martinez  |        39 |                2 | helper    | 2027-01-12 |
| Eli Perez             |        36 |                4 | technical | 2027-01-12 |
| Mia Warren            |        45 |                2 | security  | 2027-01-12 |
| Michael Hamilton      |        42 |                4 | technical | 2027-01-12 |
| Emma Hall             |        29 |                4 | security  | 2027-01-12 |
| Justin Hayes          |        37 |                4 | technical | 2027-01-12 |
| Lucas Campbell        |        40 |                5 | helper    | 2027-01-12 |
| Anthony Adams         |        38 |                2 | security  | 2027-01-12 |
| Jocelyn King          |        47 |                2 | security  | 2027-01-12 |
| Christopher Hayes     |        46 |                4 | security  | 2027-01-12 |
| Mackenzie Olson       |        39 |                2 | technical | 2027-01-12 |
| Anthony Torres        |        27 |                5 | helper    | 2027-01-12 |
| Caleb Andrews         |        38 |                2 | security  | 2027-01-12 |
| Isabella Harris       |        34 |                3 | security  | 2027-01-12 |
| Jocelyn Harris        |        42 |                4 | security  | 2027-01-12 |
| Jocelyn Brewer        |        31 |                4 | security  | 2027-01-12 |
| Preston Hall          |        28 |                3 | security  | 2027-01-12 |
| Cole Lawson           |        49 |                1 | security  | 2027-01-12 |
| Miles Barrett         |        36 |                1 | helper    | 2027-01-12 |
| Charlotte Hall        |        47 |                2 | helper    | 2027-01-12 |
| Brady Hall            |        35 |                3 | security  | 2027-01-12 |
| Amanda Sullivan       |        35 |                1 | security  | 2027-01-12 |
| Brooklyn Adams        |        34 |                2 | technical | 2027-01-12 |
| Rachel Richards       |        30 |                2 | helper    | 2027-01-12 |
| William Allen         |        35 |                5 | helper    | 2027-01-12 |
| Delaney Davis         |        39 |                3 | security  | 2025-08-08 |
| Simon Thompson        |        48 |                5 | helper    | 2025-08-08 |
| Vivian Scott          |        31 |                2 | helper    | 2025-08-08 |
| Ava Ford              |        48 |                4 | helper    | 2025-08-08 |
| Michael Scott         |        34 |                3 | security  | 2025-08-08 |
| Ava Lawson            |        47 |                5 | technical | 2025-08-08 |
| Preston Nelson        |        49 |                1 | technical | 2025-08-08 |
| Ashley Crawford       |        44 |                3 | technical | 2025-08-08 |
| Kylie Reed            |        45 |                5 | security  | 2025-08-08 |
| Miles Lewis           |        46 |                3 | security  | 2025-08-08 |
| Faith Myers           |        32 |                1 | technical | 2025-08-08 |
| Michael Lewis         |        45 |                1 | security  | 2025-08-08 |
| Stephanie Bennett     |        33 |                1 | security  | 2025-08-08 |
| Olivia Andrews        |        43 |                1 | security  | 2025-08-08 |
| Brandon Cole          |        43 |                1 | security  | 2025-08-08 |
| Leo Wright            |        29 |                4 | helper    | 2025-08-08 |
| Kevin Powell          |        38 |                5 | security  | 2025-08-08 |
| Noah Torres           |        37 |                4 | security  | 2025-08-08 |
| Olivia King           |        47 |                5 | security  | 2025-08-08 |
| Mia Lewis             |        27 |                1 | technical | 2025-08-08 |
| Max Campbell          |        41 |                2 | security  | 2025-08-08 |
| Robert Lewis          |        46 |                4 | helper    | 2025-08-08 |
| Sophia West           |        28 |                5 | security  | 2025-08-08 |
| Justin Hamilton       |        31 |                2 | helper    | 2025-08-08 |
| Isabel Roberts        |        43 |                2 | helper    | 2025-08-08 |
| Jessica Warren        |        46 |                1 | helper    | 2026-04-21 |
| Kylie Hall            |        40 |                4 | security  | 2026-04-21 |
| John Baker            |        27 |                4 | technical | 2026-04-21 |
| Cole Davis            |        39 |                1 | security  | 2026-04-21 |
| Kylie Powell          |        34 |                2 | security  | 2026-04-21 |
| Brooklyn Smith        |        34 |                3 | technical | 2026-04-21 |
| Bryce Wilson          |        27 |                2 | helper    | 2026-04-21 |
| Liam Reed             |        37 |                5 | helper    | 2026-04-21 |
| Charlotte Baker       |        35 |                1 | security  | 2026-04-21 |
| Max Warren            |        42 |                4 | security  | 2026-04-21 |
| Isabella Jenkins      |        28 |                1 | technical | 2026-04-21 |
| Liam Nelson           |        29 |                4 | helper    | 2026-04-21 |
| Joshua Brewer         |        33 |                4 | security  | 2026-04-21 |
| Anthony Ford          |        47 |                4 | technical | 2026-04-21 |
| Cole Scott            |        37 |                4 | helper    | 2026-04-21 |
| Ashley Andrews        |        41 |                3 | security  | 2026-04-21 |
| Jude Olson            |        25 |                1 | helper    | 2026-04-21 |
| William Perez         |        37 |                1 | security  | 2026-04-21 |
| Joshua Armstrong      |        45 |                1 | helper    | 2026-04-21 |
| Luna Stevens          |        42 |                4 | security  | 2026-04-21 |
| David Johnson         |        36 |                4 | technical | 2026-04-21 |
| Matthew Campbell      |        49 |                3 | security  | 2026-04-21 |
| David Olson           |        36 |                1 | security  | 2026-04-21 |
| Andrew Campbell       |        34 |                3 | security  | 2026-04-21 |
| Joshua Lee            |        33 |                4 | security  | 2026-04-21 |
| Noah Sullivan         |        43 |                4 | helper    | 2025-03-15 |
| Luna Davis            |        37 |                3 | helper    | 2025-03-15 |
| Kevin Bennett         |        42 |                1 | helper    | 2025-03-15 |
| Liam Armstrong        |        42 |                5 | technical | 2025-03-15 |
| Bryce Bennett         |        37 |                5 | helper    | 2025-03-15 |
| Caleb Clark           |        43 |                4 | technical | 2025-03-15 |
| Rachel Armstrong      |        29 |                5 | security  | 2025-03-15 |
| John Martinez         |        38 |                3 | security  | 2025-03-15 |
| Liam Barrett          |        41 |                3 | security  | 2025-03-15 |
| Andrew Jenkins        |        26 |                1 | security  | 2025-03-15 |
| Kevin Baker           |        30 |                4 | security  | 2025-03-15 |
| Emily Reed            |        35 |                5 | technical | 2025-03-15 |
| Miles Cole            |        44 |                4 | helper    | 2025-03-15 |
| William Torres        |        32 |                1 | technical | 2025-03-15 |
| Valeria Roberts       |        50 |                4 | helper    | 2025-03-15 |
| Kylie Young           |        25 |                2 | technical | 2025-03-15 |
| Vivian Hale           |        43 |                5 | security  | 2025-03-15 |
| Lucas Nelson          |        25 |                2 | security  | 2025-03-15 |
| Sophia Hanson         |        41 |                5 | security  | 2025-03-15 |
| Mackenzie Hanson      |        29 |                5 | security  | 2025-03-15 |
| Christopher Warren    |        29 |                2 | security  | 2025-03-15 |
| Preston Moreno        |        41 |                5 | security  | 2025-03-15 |
| Delaney Olson         |        36 |                2 | security  | 2025-03-15 |
| Miles West            |        46 |                1 | helper    | 2025-03-15 |
| Jude Armstrong        |        41 |                5 | security  | 2025-03-15 |
| Camila Douglas        |        27 |                4 | security  | 2025-05-10 |
| Megan Wright          |        38 |                2 | technical | 2025-05-10 |
| Liam Turner           |        48 |                3 | helper    | 2025-05-10 |
| Joshua Olson          |        34 |                3 | technical | 2025-05-10 |
| Camila Campbell       |        38 |                1 | security  | 2025-05-10 |
| Cole Russell          |        41 |                2 | helper    | 2025-05-10 |
| Isabel Smith          |        42 |                1 | helper    | 2025-05-10 |
| Brittany Hall         |        26 |                3 | security  | 2025-05-10 |
| Jessica Armstrong     |        49 |                5 | security  | 2025-05-10 |
| Noah Bennett          |        33 |                1 | security  | 2025-05-10 |
| Kevin Crawford        |        44 |                2 | helper    | 2025-05-10 |
| Amanda Powell         |        26 |                5 | security  | 2025-05-10 |
| Emily Turner          |        26 |                4 | helper    | 2025-05-10 |
| Kevin Roberts         |        45 |                2 | technical | 2025-05-10 |
| Brady Turner          |        44 |                4 | security  | 2025-05-10 |
| Lucas Armstrong       |        38 |                1 | security  | 2025-05-10 |
| Leo Jenkins           |        42 |                1 | technical | 2025-05-10 |
| Liam Scott            |        48 |                2 | security  | 2025-05-10 |
| Cole Diaz             |        42 |                4 | helper    | 2025-05-10 |
| Anthony Russell       |        39 |                1 | security  | 2025-05-10 |
| Simon Bennett         |        41 |                1 | helper    | 2025-05-10 |
| Isabella Allen        |        28 |                3 | security  | 2025-05-10 |
| Amanda Perkins        |        35 |                2 | security  | 2025-05-10 |
| Preston Griffin       |        35 |                1 | technical | 2025-05-10 |
| Eli Davis             |        31 |                5 | security  | 2025-05-10 |
| Delaney Griffin       |        33 |                1 | security  | 2027-08-17 |
| Joshua Douglas        |        25 |                1 | security  | 2027-08-17 |
| Andrew Green          |        47 |                3 | security  | 2027-08-17 |
| Max Perez             |        26 |                4 | security  | 2027-08-17 |
| Nicole Warren         |        50 |                3 | security  | 2027-08-17 |
| Preston Perkins       |        48 |                4 | helper    | 2027-08-17 |
| James Hall            |        32 |                1 | security  | 2027-08-17 |
| Emily Barrett         |        26 |                3 | technical | 2027-08-17 |
| Miles Ellis           |        28 |                2 | helper    | 2027-08-17 |
| Jocelyn Mitchell      |        29 |                5 | helper    | 2027-08-17 |
| Caleb King            |        31 |                3 | security  | 2027-08-17 |
